address,attributes,business_id,categories,city,hours,is_open,name,neighborhood,postal_code,review_count,stars,state,BusinessAcceptsCreditCards,BikeParking,RestaurantsDelivery,RestaurantsTakeOut,OutdoorSeating,parking_garge,parking_street,parking_validated,parking_lot,parking_valet
"1000 Ross Park Mall Dr, Ross Park Mall","['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1']",lUUsFmM8_QcM5m8oujzCAg,"['Food', 'Bakeries', 'Pretzels']",Pittsburgh,,1,Auntie Anne's,,15237.0,6,3.0,PA,1,0,0,0,0,0,0,0,0,0
951 Liberty Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",_XlO-uEB3ZMA19Q8Ljbipw,"['Food', 'Restaurants', 'Vegetarian', 'American (New)', 'Cafes', 'Bakeries', 'Juice Bars & Smoothies']",Pittsburgh,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0']",1,Umbrella Cafe,Downtown,15222.0,57,4.5,PA,1,1,0,1,0,0,1,0,0,0
601 Woodward Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",w6bRFK2rsO4dRb6xhw_TtA,"['Food', 'Bakeries']",McKees Rocks,"['Monday 5:0-22:0', 'Tuesday 5:0-22:0', 'Wednesday 5:0-22:0', 'Thursday 5:0-22:0', 'Friday 5:0-22:0', 'Saturday 5:0-22:0', 'Sunday 5:0-22:0']",1,Mancini's Bakery,,15136.0,14,4.5,PA,1,0,0,0,0,0,1,0,0,0
2000 Village Run Rd,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",UdHRPszFOKuVs_8ZplzUhA,"['Bakeries', 'Food']",Wexford,"['Monday 7:0-21:0', 'Tuesday 7:0-21:0', 'Wednesday 7:0-21:0', 'Thursday 7:0-21:0', 'Friday 7:0-22:0', 'Saturday 7:0-22:0', 'Sunday 8:0-21:0']",1,Bartram House Bakery,,15090.0,72,3.5,PA,1,1,0,1,0,0,0,0,1,0
979 Greentree Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",N_k0rBm3OcJlAexLlhGRiw,"['Bakeries', 'Bagels', 'Food']",Pittsburgh,,1,Einstein Bros Bagels,Greentree,15220.0,17,2.5,PA,1,1,0,1,0,0,0,0,1,0
5253 Brownsville Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True']",t0jV5bO_6jydjEONI_xDDw,"['Food', 'Bakeries']",Pittsburgh,"['Monday 6:0-18:0', 'Tuesday 6:0-18:0', 'Wednesday 6:0-18:0', 'Thursday 6:0-18:0', 'Friday 6:0-18:0', 'Saturday 6:0-17:0', 'Sunday 6:0-14:0']",1,Dave's Terrace Bakery,,15236.0,8,2.5,PA,1,0,0,0,0,0,0,0,0,0
7217 McKnight Rd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",7Qpn2DvgIUpOJQdI4DXETQ,"['Sandwiches', 'Food', 'Bagels', 'Breakfast & Brunch', 'Bakeries', 'Soup', 'Salad', 'Restaurants']",Ross Township,"['Monday 6:30-21:0', 'Tuesday 6:30-21:0', 'Wednesday 6:30-21:0', 'Thursday 6:30-21:0', 'Friday 6:30-22:0', 'Saturday 6:30-22:0', 'Sunday 7:0-20:0']",1,Panera Bread,,15237.0,7,2.5,PA,1,1,0,1,1,0,0,0,0,0
120 Fifth Ave,"['BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",wjHw2vCIfu17exRWpFwk4g,"['Bakeries', 'Candy Stores', 'Desserts', 'Food', 'Specialty Food']",Pittsburgh,"['Monday 10:0-18:0', 'Tuesday 10:0-18:0', 'Wednesday 10:0-18:0', 'Thursday 10:0-18:0', 'Friday 10:0-18:0', 'Saturday 10:0-15:0']",1,Katie's Kandy,Downtown,15222.0,5,3.5,PA,1,1,0,1,0,0,1,0,0,0
6520 Wilkins Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",E4uunCOBjqk57GzGbXyGpA,"['Food', 'Bakeries']",Pittsburgh,"['Tuesday 7:0-18:0', 'Wednesday 7:0-18:0', 'Thursday 7:0-18:0', 'Friday 7:0-18:0', 'Saturday 8:0-17:0', 'Sunday 8:0-14:0']",1,Five Points Artisan Bakeshop,Squirrel Hill,15217.0,44,5.0,PA,1,1,0,1,0,0,1,0,0,0
2104 Murray Ave,"['BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']",S-WbBty-kGOO3Fmwx3Jmlw,"['Coffee & Tea', 'Restaurants', 'Desserts', 'Bakeries', 'Food']",Pittsburgh,"['Monday 10:0-22:0', 'Tuesday 10:0-22:0', 'Wednesday 10:0-22:0', 'Thursday 10:0-22:0', 'Friday 10:0-22:0', 'Saturday 10:0-22:0', 'Sunday 10:0-22:0']",1,Pink Box Bakery Cafe,Squirrel Hill,15217.0,60,4.0,PA,1,1,0,1,0,0,1,0,0,0
5837 Forbes Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no', 'NoiseLevel: quiet']",w2tr0PA0b3tg8pId0kjM-A,"['Macarons', 'Restaurants', 'Food', 'Specialty Food', 'Bakeries', 'French']",Pittsburgh,"['Monday 8:0-20:0', 'Tuesday 8:0-20:0', 'Wednesday 8:0-20:0', 'Thursday 8:0-20:0', 'Friday 8:0-20:0', 'Saturday 8:0-20:0', 'Sunday 8:0-17:0']",1,Gaby Et Jules,Squirrel Hill,15217.0,155,4.0,PA,1,1,1,1,1,0,1,0,0,0
8350 Perry Highway,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",ODIGLVb1FkessrUsBiIheA,"['Desserts', 'Food', 'Bakeries']",Pittsburgh,"['Monday 8:0-19:0', 'Tuesday 8:0-19:0', 'Wednesday 8:0-19:0', 'Thursday 8:0-19:0', 'Friday 8:0-19:0', 'Saturday 9:0-15:0']",0,Baked From Scratch Cafe,,15237.0,4,4.5,PA,1,1,0,1,0,0,0,0,0,0
3511 Butler St,"['Alcohol: none', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'WheelchairAccessible: True']",wNnPxpAOCBk2N1KTJ2PDCw,"['Restaurants', 'Food', 'Bakeries', 'Cafes']",Pittsburgh,"['Monday 8:0-18:0', 'Tuesday 8:0-18:0', 'Wednesday 8:0-18:0', 'Thursday 8:0-18:0', 'Friday 8:0-18:0', 'Saturday 10:0-18:0']",0,Dozen Bake Shop,Lawrenceville,15201.0,65,3.0,PA,1,0,0,0,0,0,1,0,0,0
7061 Steubenville Pike,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: False', ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: True', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",3b2R0n1lyUSBB-itvB8Caw,"['Bakeries', 'Restaurants', 'Food', 'Gluten-Free']",Oakdale,"['Tuesday 8:0-18:0', 'Wednesday 8:0-18:0', 'Thursday 8:0-18:0', 'Friday 8:0-18:0', 'Saturday 8:0-15:0']",1,Cafe Chocolade,,15071.0,39,5.0,PA,1,1,0,1,1,0,0,0,1,0
4885 McKnight Rd,"[""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",RttisSZQkaRtR7vNZTTnXw,"['Food', 'Bakeries', 'Restaurants', 'Bagels', 'Sandwiches', 'Breakfast & Brunch']",Pittsburgh,"['Monday 5:30-19:0', 'Tuesday 5:30-19:0', 'Wednesday 5:30-19:0', 'Thursday 5:30-19:0', 'Friday 5:30-19:0', 'Saturday 6:0-18:0', 'Sunday 6:0-18:0']",1,Bruegger's Bagels,,15237.0,8,2.0,PA,1,0,0,1,1,0,0,0,0,0
213 North Ave,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False']",RBiJRcNC7NoDf-XYMFrCBg,"['Desserts', 'Food', 'Bakeries']",Pittsburgh,"['Tuesday 7:0-17:0', 'Wednesday 7:0-17:0', 'Thursday 7:0-17:0', 'Friday 7:0-17:0', 'Saturday 7:0-14:0']",1,Jean-Marc Chatellier's French Bakery,Millvale,15209.0,122,5.0,PA,1,1,0,1,0,0,1,0,0,0
311 S 2nd St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed: False', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",HsK8jIl1WapeIld_z1_BDw,"['Food', 'Gift Shops', 'Party Supplies', 'Bakeries', 'Shopping', 'Flowers & Gifts', 'Event Planning & Services', 'Cupcakes', 'Florists', 'Wedding Planning']",Elizabeth,"['Monday 8:0-18:0', 'Tuesday 8:0-18:0', 'Wednesday 8:0-18:0', 'Thursday 8:0-18:0', 'Friday 8:0-18:0', 'Saturday 8:0-16:0']",1,Barton's Flowers & Bake Shop,,15037.0,13,5.0,PA,1,1,1,1,0,0,1,0,1,0
225 Brownsville Rd,"['BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",pvcavm_yprIRBAT24JiTRQ,"['Food', 'Bakeries']",Pittsburgh,,0,Kullman's Bakery,Mt. Oliver,15210.0,3,3.5,PA,0,0,0,0,0,0,0,0,0,0
5825 Ellsworth Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",cqPrr2uDMLP9_cPbIiOSrA,"['Food', 'Bagels', 'Bakeries']",Pittsburgh,"['Monday 6:30-14:30', 'Tuesday 6:30-15:0', 'Wednesday 6:30-15:0', 'Thursday 6:30-15:0', 'Friday 6:30-15:0', 'Saturday 6:30-15:0', 'Sunday 6:30-15:0']",1,Bagel Factory,Shadyside,15232.0,33,3.0,PA,1,1,0,1,0,0,1,0,0,0
1824 Leishman Ave,"['GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'NoiseLevel: average', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsReservations: False']",EIJu1RpAf_mXTmFlf_G6Cg,"['Caterers', 'Pizza', 'Food', 'Italian', 'Restaurants', 'Delis', 'Bakeries', 'Grocery', 'Event Planning & Services']",New Kensington,"['Monday 9:0-17:0', 'Tuesday 9:0-17:0', 'Wednesday 9:0-17:0', 'Thursday 9:0-17:0', 'Friday 9:0-17:0', 'Saturday 9:0-17:0']",1,Fazio's Pizza & Italian Food,,15068.0,5,4.0,PA,0,0,0,0,0,0,0,0,0,0
1711 Murray Ave,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'WheelchairAccessible: True']",IMU524Ze7yHf8gc7R-SYUA,"['Bakeries', 'Restaurants', 'Food']",Pittsburgh,,0,Panera Bread,Squirrel Hill,15217.0,5,3.5,PA,1,0,0,0,0,0,1,0,0,0
2108 Murray Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 2']",U9KR7K5cdKy5kOr7UsG6EA,"['Desserts', 'Bakeries', 'Food']",Pittsburgh,"['Tuesday 11:0-19:0', 'Wednesday 11:0-19:0', 'Thursday 11:0-19:0', 'Friday 10:0-20:0', 'Saturday 10:0-20:0']",0,The Cake & Cookie Spot,Squirrel Hill,15217.0,19,5.0,PA,1,1,0,0,0,0,1,0,0,0
5222 Butler St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsTakeOut: True', 'WiFi: free', 'RestaurantsPriceRange2: 2']",x8WI_GkeGHGJCXggDm8flg,"['Food', 'Coffee & Tea', 'Bakeries', 'Desserts']",Pittsburgh,"['Wednesday 8:0-23:0', 'Thursday 8:0-23:0', 'Friday 8:0-23:0', 'Saturday 9:0-23:0', 'Sunday 9:0-21:0']",1,The Butterwood Bake Consortium,Lawrenceville,15201.0,56,4.0,PA,1,1,0,1,0,0,1,0,0,0
5200 Brightwood Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",o9eVtV66qMtY0VmWyY2N9Q,"['Bakeries', 'Food']",Bethel Park,"['Monday 7:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-18:0']",1,Bethel Bakery,,15102.0,50,4.0,PA,1,1,1,1,0,0,0,0,1,0
723 Washington Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",nuMmehPFS5kI1_C9bBlK5A,"['Bakeries', 'Coffee & Tea', 'Food']",Pittsburgh,"['Monday 7:0-22:0', 'Tuesday 7:0-22:0', 'Wednesday 7:0-22:0', 'Thursday 7:0-22:0', 'Friday 7:0-23:0', 'Saturday 7:0-23:0', 'Sunday 7:0-22:0']",1,Uptown Coffee,,15228.0,49,4.0,PA,1,1,0,1,0,0,1,0,0,0
300 Mount Lebanon Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 3', 'RestaurantsTakeOut: True']",d6Skwa65ZxoO0NCBbzKlhA,"['Food', 'Bakeries']",Pittsburgh,"['Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 7:0-17:0', 'Sunday 7:0-15:0']",1,Graham's Bakery,,15234.0,11,3.5,PA,1,1,0,1,0,0,0,0,1,0
5906 Bryant St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",i7TFQpKD-xBFkJTea9LASQ,"['Food', 'Event Planning & Services', 'Bakeries', 'Caterers', 'Specialty Schools', 'Education', 'Cooking Schools']",Pittsburgh,"['Wednesday 10:0-18:0', 'Thursday 10:0-18:0', 'Friday 10:0-18:0', 'Saturday 10:0-18:0']",1,Food Glorious Food,Highland Park,15206.0,43,4.5,PA,1,1,0,1,0,0,1,0,0,0
1923 Murray Ave,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly: True', 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: no']",VhEWjWUrcHFFNAyZN-TzyQ,"['Bakeries', 'Vegan', 'Gluten-Free', 'Food', 'Desserts', 'Restaurants']",Pittsburgh,"['Tuesday 9:0-18:0', 'Wednesday 9:0-18:0', 'Thursday 9:0-19:0', 'Friday 9:0-18:0', 'Saturday 9:0-18:0', 'Sunday 10:0-16:0']",1,Gluuteny Bakery,Squirrel Hill,15217.0,63,4.0,PA,1,1,0,1,0,0,1,0,0,0
910 Freeport Rd,"['Alcohol: beer_and_wine', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'RestaurantsDelivery: True']",4wwmiKihQAit3e1VwujfVw,"['Drugstores', 'Shopping', 'Food', 'Bakeries', 'Meat Shops', 'Specialty Food', 'Grocery']",Pittsburgh,"['Monday 0:0-0:0', 'Tuesday 0:0-0:0', 'Wednesday 0:0-0:0', 'Thursday 0:0-0:0', 'Friday 0:0-0:0', 'Saturday 0:0-0:0', 'Sunday 0:0-0:0', 'Monday 0:0-0:30']",1,Giant Eagle Market District,,15238.0,25,3.5,PA,1,1,1,1,0,0,0,0,1,0
105 Blue Spruce Way,"['Alcohol: none', 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",Ou1eo0K1F3AReNg2Z3kjYQ,"['Food', 'Health Markets', 'Specialty Food', 'Restaurants', 'Gluten-Free', 'Bakeries']",Murrysville,"['Monday 9:0-18:0', 'Tuesday 9:0-18:0', 'Wednesday 9:0-19:0', 'Thursday 9:0-19:0', 'Friday 9:0-19:0', 'Saturday 9:0-17:0', 'Sunday 11:0-15:0']",1,Ali's Marketplace by Gluten Free Zone,,15668.0,8,3.0,PA,1,0,0,1,1,0,0,0,0,0
300 Cochran Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",WoiOpMEcbAfOqNYXqDwm3Q,"['Food', 'Bakeries']",Mt Lebanon,"['Monday 7:0-17:0', 'Tuesday 7:0-17:0', 'Wednesday 7:0-17:0', 'Thursday 7:0-17:0', 'Friday 7:0-17:0', 'Saturday 8:0-15:30', 'Sunday 8:0-14:30']",1,La Gourmandine Bakery & Pastry Shop,,15228.0,33,4.5,PA,1,1,0,1,0,0,0,0,1,0
2034 Murray Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'WheelchairAccessible: True', 'RestaurantsTakeOut: True']",7zWoldq0uQV73BjoTM3G5w,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-19:30', 'Tuesday 7:0-19:30', 'Wednesday 7:0-19:30', 'Thursday 7:0-19:30', 'Friday 7:0-19:30', 'Saturday 7:0-19:30', 'Sunday 7:0-19:0']",1,Allegro Hearth Bakery,Squirrel Hill,15217.0,62,4.5,PA,1,1,0,1,0,0,1,0,0,0
2218 Murray Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",p5zpELzwGH_iRYSi5rRHGw,"['Bakeries', 'Food']",Pittsburgh,"['Monday 9:0-20:0', 'Tuesday 9:0-20:0', 'Wednesday 9:0-20:0', 'Thursday 9:0-20:0', 'Friday 9:0-20:0', 'Saturday 9:0-20:0', 'Sunday 9:0-20:0']",1,Bubble Pi,Squirrel Hill,15217.0,28,3.5,PA,1,1,0,1,0,0,1,0,0,0
433 Perry Hwy,"['BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",QIahrchu9mUW8DGZla8c7w,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:0-17:0', 'Tuesday 7:0-17:0', 'Wednesday 7:0-17:0', 'Thursday 7:0-17:0', 'Friday 7:0-17:0', 'Saturday 7:0-17:0']",1,Schorr Bakery,West View,15229.0,12,5.0,PA,0,1,0,1,0,0,0,0,1,0
81 Clairton Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 3', 'RestaurantsTakeOut: True']",T8c7Yl2Xp3cUkSfiRZpKMA,"['Food', 'Desserts', 'Bakeries']",Pittsburgh,"['Monday 6:0-18:0', 'Tuesday 6:0-18:0', 'Wednesday 6:0-18:0', 'Thursday 6:0-18:0', 'Friday 6:0-18:0', 'Saturday 7:0-19:0']",1,Pastries A La Carte,,15206.0,21,4.0,PA,1,1,1,1,0,0,0,0,0,0
